player_id,player_name,team,position,season,fantasy_total
3121410,Parris Campbell,DAL,WR,2024,15.0
4686104,Johnny Wilson,PHI,WR,2024,14.8
4241802,Jalen Reagor,LAC,WR,2024,14.7
4429033,Jermaine Burton,CIN,WR,2024,14.7
4244049,Quintin Morris,BUF,TE,2024,14.6
16733,Odell Beckham Jr.,FA,WR,2024,14.5
4427278,Xavier Gipson,NYJ,WR,2024,14.4
4048228,John Bates,WSH,TE,2024,14.4
3052897,Durham Smythe,CHI,TE,2024,14.3
2580216,DeAndre Carter,CHI,WR,2024,14.2
4692590,Jalin Hyatt,NYG,WR,2024,14.2
3115255,Brandon Powell,MIN,WR,2024,14.1
3045169,Tim Boyle,NYG,QB,2024,13.94
4241476,Tyrell Shavers,BUF,WR,2024,13.9
4361112,Devin Culp,TB,TE,2024,13.8
4690923,Ben Sinnott,WSH,TE,2024,13.8
2578533,Chris Conley,SF,WR,2024,13.6
3052056,River Cracraft,MIA,WR,2024,13.6
4012556,C.J. Ham,MIN,RB,2024,13.5
4360174,Michael Woods II,CLE,WR,2024,13.5
4240391,Tommy DeVito,NYG,QB,2024,13.48
4367567,Julius Chestnut,TEN,RB,2024,13.3
4243322,Jake Haener,NO,QB,2024,13.24
3115394,DJ Chark Jr.,LAC,WR,2024,13.1
4239944,Hunter Long,JAX,TE,2024,13.0
4383351,Trey Lance,DAL,QB,2024,12.74
2971281,Pharaoh Brown,MIA,TE,2024,12.5
2531358,Chris Manhertz,NYG,TE,2024,12.0
3914397,Scotty Miller,PIT,WR,2024,11.9
4035656,Ben Skowronek,PIT,WR,2024,11.9
4245144,Tay Martin,TEN,WR,2024,11.9
4431453,Deuce Vaughn,DAL,RB,2024,11.8
3918639,Gerald Everett,FA,TE,2024,11.6
4035020,Charlie Woerner,ATL,TE,2024,11.6
4046676,Tony Jones Jr.,FA,RB,2024,11.5
4428085,Luke Musgrave,GB,TE,2024,11.5
4242558,Tucker Fisk,LAC,TE,2024,10.9
4243160,Laviska Shenault Jr.,BUF,WR,2024,10.7
4575665,Jacob Cowing,SF,WR,2024,10.7
3122976,Jeff Wilson Jr.,MIA,RB,2024,10.6
3926231,Britain Covey,PHI,WR,2024,10.4
4258248,Peyton Hendershot,KC,TE,2024,10.1
4242214,Clyde Edwards-Helaire,NO,RB,2024,10.0
4426553,Davis Allen,LAR,TE,2024,9.9
3910176,Kristian Wilkerson,LV,WR,2024,9.8
4696700,Tip Reiman,ARI,TE,2024,9.7
4242546,Davis Mills,HOU,QB,2024,9.58
4362748,Tyler Badie,DEN,RB,2024,9.4
4696882,Devontez Walker,BAL,WR,2024,9.1
